Map,Team ,Round,Side,Time to engagement,Time at Plant,Site,Plant XvY,Result,Pistol,Date,Tier
FANCY,Ascent,6,Attack,01:34,,,,Loss,,03-06-2026,
FANCY,Ascent,7,Attack,01:33,01:09,A,2v1,Win,,03-06-2026,
FANCY,Ascent,8,Attack,01:27,,,,Loss,,03-06-2026,
FANCY,Ascent,9,Attack,01:28,01:13,A,4v5,Loss,,03-06-2026,
FANCY,Ascent,10,Attack,00:38,,,,Win,,03-06-2026,
FANCY,Ascent,11,Attack,01:18,01:14,A,5v2,Win,,03-06-2026,
FANCY,Ascent,12,Attack,00:59,00:49,A,5v4,Win,,03-06-2026,
FANCY,Ascent,13,Defence,01:21,,,,Win,Win,03-06-2026,
FANCY,Ascent,14,Defence,01:25,00:40,A,1v2,Loss,,03-06-2026,
FANCY,Ascent,15,Defence,01:05,,,,Win,,03-06-2026,
FANCY,Ascent,16,Defence,00:17,,,,Win,,03-06-2026,
FANCY,Ascent,17,Defence,01:07,00:55,B,2v5,Loss,,03-06-2026,
FANCY,Ascent,18,Defence,00:41,,,,Win,,03-06-2026,
FANCY,Ascent,19,Defence,01:31,01:14,A,3v5,Loss,,03-06-2026,
FANCY,Ascent,20,Defence,01:24,,,,Win,,03-06-2026,
FANCY,Ascent,21,Defence,01:27,,,,Loss,,03-06-2026,
FANCY,Ascent,22,Defence,01:25,00:59,B,3v2,Loss,,03-06-2026,
FANCY,Ascent,23,Defence,01:06,01:06,A,5v5,Win,,03-06-2026,
FANCY,Ascent,24,Defence,01:18,00:22,A,2v4,Loss,,03-06-2026,
TRINITY,Lotus,1,Attack,00:48,0.31,A,1v2,Loss,Loss,03-06-2026,
TRINITY,Lotus,2,Attack,01:32,,,,Loss,,03-06-2026,
TRINITY,Lotus,3,Attack,01:25,01:10,C,5v3,Win,,03-06-2026,
TRINITY,Lotus,4,Attack,00:20,00:05,C,1v5,Loss,,03-06-2026,
TRINITY,Lotus,5,Attack,01:27,,,,Loss,,03-06-2026,
TRINITY,Lotus,6,Attack,01:25,,,,Loss,,03-06-2026,
TRINITY,Lotus,7,Attack,01:06,,,,Loss,,03-06-2026,
TRINITY,Lotus,8,Attack,01:10,01:05,C,3v4,Loss,,03-06-2026,
TRINITY,Lotus,9,Attack,01:03,,,,Loss,,03-06-2026,
TRINITY,Lotus,10,Attack,01:30,01:11,A,3v1,Win,,03-06-2026,
