Map,Player,ACS,Agent,Date,Result
Breeze,SiuFatBB,173,Sova,01/27/2026,Loss
Abyss,Spring,284,Waylay,01/27/2026,Win
Abyss,Yosemite,253,Veto,01/27/2026,Win
Abyss,autumN,244,Yoru,01/27/2026,Win
Abyss,jowa,148,Astra,01/27/2026,Win
Abyss,SiuFatBB,134,Sova,01/27/2026,Win
Breeze,Yosemite,237,Viper,01/27/2026,Loss
Breeze,jowa,235,Astra,01/27/2026,Loss
Breeze,autumN,213,Jett,01/27/2026,Loss
Breeze,SiuFatBB,127,Sova,01/27/2026,Loss
Breeze,Spring,115,Yoru,01/27/2026,Loss
Abyss,SiuFatBB,255,Sova,01/27/2026,Win
Abyss,Spring,235,Waylay,01/27/2026,Win
Abyss,autumN,220,Yoru,01/27/2026,Win
Abyss,jowa,214,Astra,01/27/2026,Win
Abyss,Yosemite,207,Viper,01/27/2026,Win
Abyss,jowa,178,Astra,01/30/2026,Loss
Abyss,Spring,265,Waylay,01/30/2026,Loss
Abyss,autumN,157,Yoru,01/30/2026,Loss
Abyss,Yosemite,146,Veto,01/30/2026,Loss
Abyss,SiuFatBB,110,Sova,01/30/2026,Loss
Breeze,jowa,179,Astra,01/30/2026,Loss
Breeze,Spring,199,Yoru,01/30/2026,Loss
Breeze,autumN,156,Jett,01/30/2026,Loss
Breeze,Yosemite,241,Veto,01/30/2026,Loss
Breeze,SiuFatBB,202,Sova,01/30/2026,Loss
